Coronavirus in Rheinland-Pfalz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anzahl der Infizierten in Stadt-/Landkreisen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landkreis,09.03.21,08.03.21,07.03.21,06.03.21,05.03.21,04.03.21,03.03.21,02.03.21,01.03.21,28.02.21,27.02.21,26.02.21,25.02.21,24.02.21,23.02.21,22.02.21,21.02.21,20.02.21,19.02.21,18.02.21,17.02.21,16.02.21,15.02.21,14.02.21,13.02.21,12.02.21,11.02.21,10.02.21,09.02.21,08.02.21,07.02.21,06.02.21,05.02.21,04.02.21,03.02.21,02.02.21,01.02.21,31.01.21,30.01.21,29.01.21,28.01.21,27.01.21,26.01.21,25.01.21,24.01.21,23.01.21,22.01.21,21.01.21,20.01.21,19.01.21,18.01.21,17.01.21,16.01.21,15.01.21,14.01.21,13.01.21,12.01.21,11.01.21,10.01.21,09.01.21,08.01.21,07.01.21,06.01.21,05.01.21,04.01.21,03.01.21,02.01.21,01.01.21,31.12.20,30.12.20,29.12.20,28.12.20,27.12.20,26.12.20,25.12.20,24.12.20,23.12.20,22.12.20,21.12.20,20.12.20,19.12.20,18.12.20,17.12.20,16.12.20,15.12.20,14.12.20,13.12.20,12.12.20,11.12.20,10.12.20,09.12.20,08.12.20,07.12.20,06.12.20,05.12.20,04.12.20,03.12.20,02.12.20,01.12.20,30.11.20,29.11.20,28.11.20,27.11.20,26.11.20,25.11.20,24.11.20,23.11.20,22.11.20,21.11.20,20.11.20,19.11.20,18.11.20,17.11.20,16.11.20,15.11.20,14.11.20,13.11.20,12.11.20,11.11.20,10.11.20,09.11.20,08.11.20,07.11.20,06.11.20,05.11.20,04.11.20,03.11.20,02.11.20,01.11.20,31.10.20,30.10.20,29.10.20,28.10.20,27.10.20,26.10.20,25.10.20,24.10.20,23.10.20,22.10.20,21.10.20,20.10.20,19.10.20,18.10.20,17.10.20,16.10.20,15.10.20,14.10.20,13.10.20,12.10.20,11.10.20,10.10.20,09.10.20,08.10.20,07.10.20,06.10.20,05.10.20,04.10.20,03.10.20,02.10.20,01.10.20,30.09.20,29.09.20,28.09.20,27.09.20,26.09.20,25.09.20,24.09.20,23.09.20,22.09.20,21.09.20,20.09.20,19.09.20,18.09.20,17.09.20,16.09.20,15.09.20,14.09.20,13.09.20,12.09.20,11.09.20,10.09.20,09.09.20,08.09.20,07.09.20,06.09.20,05.09.20,04.09.20,03.09.20,02.09.20,01.09.20,31.08.20,30.08.20,29.08.20,28.08.20,27.08.20,26.08.20,25.08.20,24.08.20,23.08.20,22.08.20,21.08.20,20.08.20,19.08.20,18.08.20,17.08.20,16.08.20,15.08.20,14.08.20,13.08.20,12.08.20,11.08.20,10.08.20,09.08.20,08.08.20,07.08.20,06.08.20,05.08.20,04.08.20,03.08.20,02.08.20,01.08.20,31.07.20,30.07.20,29.07.20,28.07.20,27.07.20,26.07.20,25.07.20,24.07.20,23.07.20,22.07.20,21.07.20,20.07.20,19.07.20,18.07.20,17.07.20,16.07.20,15.07.20,14.07.20,13.07.20,12.07.20,11.07.20,10.07.20,09.07.20,08.07.20,07.07.20,06.07.20,05.07.20,04.07.20,03.07.20,02.07.20,01.07.20,30.06.20,29.06.20,28.06.20,27.06.20,26.06.20,25.06.20,24.06.20,23.06.20,22.06.20,21.06.20,20.06.20,19.06.20,18.06.20,17.06.20,16.06.20,15.06.20,14.06.20,13.06.20,12.06.20,11.06.20,10.06.20,09.06.20,08.06.20,07.06.20,06.06.20,05.06.20,04.06.20,03.06.20,02.06.20,01.06.20,31.05.20,30.05.20,29.05.20,28.05.20,27.05.20,26.05.20,25.05.20,24.05.20,23.05.20,22.05.20,21.05.20,20.05.20,19.05.20,18.05.20,17.05.20,16.05.20,15.05.20,14.05.20,13.05.20,12.05.20,11.05.20,10.05.20,09.05.20,08.05.20,07.05.20,06.05.20,05.05.20,04.05.20,03.05.20,02.05.20,01.05.20,30.04.20,29.04.20,28.04.20,27.04.20,26.04.20,25.04.20,24.04.20,23.04.20,22.04.20,21.04.20,20.04.20,19.04.20,18.04.20,17.04.20,16.04.20,15.04.20,14.04.20,13.04.20,12.04.20,11.04.20,10.04.20,09.04.20,08.04.20,07.04.20,06.04.20,05.04.20,04.04.20,03.04.20,02.04.20,01.04.20,31.03.20,30.03.20,29.03.20,28.03.20,27.03.20,26.03.20,25.03.20,24.03.20,23.03.20,22.03.20,21.03.20,20.03.20,19.03.20,18.03.20,17.03.20,16.03.20,15.03.20,14.03.20,13.03.20,12.03.20,11.03.20
Ahrweiler,3098,3092,3079,3070,3062,3042,3031,3015,2991,2976,2963,2962,2944,2930,2911,2903,2890,2867,2858,2835,2821,2813,2803,2790,2759,2758,2741,2724,2713,2706,2699,2678,2678,2654,2632,2627,2622,2607,2587,2576,2545,2537,2518,2515,2476,2476,2468,2442,2430,2408,2400,2391,2381,2357,2335,2323,2304,2284,2252,2208,2208,2176,2148,2117,2106,2081,2061,2037,2031,2014,1981,1960,1924,1918,1918,1895,1881,1849,1839,1819,1775,1775,1745,1726,1697,1672,1645,1614,1614,1590,1563,1562,1543,1505,1487,1487,1464,1441,1415,1405,1385,1367,1348,1330,1301,1276,1262,1230,1227,1204,1176,1144,1096,1079,1027,1001,999,968,941,909,893,879,826,808,750,725,703,690,636,622,622,590,557,520,516,495,472,472,446,434,429,429,421,414,411,406,400,400,399,394,392,384,378,377,376,370,363,363,360,356,355,354,354,352,352,350,350,347,346,346,343,342,339,337,337,336,333,333,333,333,330,330,330,329,319,319,318,308,304,302,293,289,289,286,283,280,278,274,268,266,265,263,261,260,256,247,245,244,244,243,241,241,238,235,231,231,230,228,225,225,224,224,224,224,223,223,222,221,221,221,220,220,220,218,218,218,218,214,214,207,207,207,207,207,207,207,207,207,206,206,201,201,196,196,196,196,195,195,195,195,195,195,195,195,195,195,195,195,195,195,194,194,194,194,193,193,192,189,189,189,188,188,188,188,187,186,186,184,184,182,182,180,177,176,175,173,163,158,158,155,155,154,150,144,140,138,138,138,138,136,136,127,125,123,120,117,112,112,112,112,112,112,112,111,111,111,110,110,110,109,109,108,108,103,103,100,99,91,88,83,80,75,71,66,62,60,57,53,51,46,45,41,40,37,31,24,14,10,7,3,3,2,0,0
Altenkirchen,2771,2711,2711,2699,2699,2659,2624,2569,2569,2559,2543,2538,2482,2445,2422,2421,2403,2373,2361,2359,2331,2318,2312,2270,2268,2266,2238,2227,2222,2218,2214,2201,2201,2176,2171,2160,2142,2135,2122,2122,2088,2085,2079,2079,2051,2045,2032,2024,2015,2000,1991,1980,1964,1955,1942,1923,1879,1878,1875,1856,1856,1803,1789,1778,1761,1760,1753,1753,1738,1719,1699,1692,1689,1681,1678,1658,1641,1626,1624,1616,1573,1573,1564,1530,1480,1475,1434,1412,1406,1338,1318,1293,1287,1266,1225,1221,1199,1182,1162,1151,1101,1101,1101,1039,1037,1035,1031,1022,997,981,929,906,896,893,871,865,846,835,823,772,765,765,755,755,740,727,717,704,663,663,663,630,605,591,552,532,506,486,453,420,400,391,381,342,305,295,290,285,284,284,282,282,272,269,265,264,264,261,260,256,253,250,246,245,245,243,240,237,232,232,231,231,231,230,230,230,229,229,228,225,224,220,217,213,212,211,211,211,211,210,208,208,203,202,202,201,200,200,199,199,199,198,197,197,197,197,197,192,192,189,188,188,187,187,187,187,187,187,187,187,187,186,186,186,185,185,185,185,185,182,180,180,180,180,180,180,180,179,178,178,178,178,178,178,178,177,177,173,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,167,167,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,164,163,162,162,162,162,162,162,157,157,156,155,155,155,155,155,156,155,155,155,155,155,154,153,153,152,152,150,147,147,142,140,135,135,135,127,127,127,127,119,118,108,106,99,99,93,92,88,76,74,71,64,62,60,58,57,52,50,48,45,39,34,29,23,21,17,17,14,13,11,6,5,3,2,1,0,0,0
Alzey-Worms,3404,3398,3394,3389,3388,3375,3367,3356,3354,3351,3335,3332,3318,3308,3296,3292,3286,3274,3275,3266,3252,3244,3235,3220,3220,3212,3209,3201,3188,3173,3153,3130,3130,3119,3103,3085,3064,3060,3049,3042,3031,3012,2987,2981,2969,2957,2945,2913,2883,2858,2838,2828,2817,2808,2784,2754,2723,2701,2668,2664,2636,2595,2556,2529,2493,2484,2463,2447,2424,2407,2381,2362,2319,2308,2264,2260,2254,2205,2179,2137,2094,2060,2037,2018,1966,1958,1925,1895,1874,1833,1778,1737,1722,1667,1656,1635,1577,1561,1549,1533,1508,1457,1440,1384,1345,1315,1282,1261,1215,1177,1142,1102,1082,1054,1026,988,966,924,891,856,834,803,762,741,712,696,675,662,630,619,609,583,563,547,528,522,515,513,498,493,490,484,479,468,467,459,448,432,431,428,420,414,411,410,403,399,399,394,394,389,375,373,366,364,358,356,354,353,349,349,352,350,347,346,346,346,344,344,341,338,335,334,333,333,333,328,328,325,324,324,323,321,321,321,319,319,318,317,316,315,313,312,294,291,288,288,287,286,285,284,283,279,279,278,275,275,274,273,273,273,273,273,273,273,273,273,273,273,272,272,272,272,272,272,272,272,272,272,272,272,272,272,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,270,270,270,270,270,270,270,269,269,268,268,268,268,268,268,266,266,266,266,266,266,266,266,266,265,265,265,265,265,265,265,265,265,262,261,260,260,260,259,259,256,251,247,245,245,242,242,234,234,227,227,227,227,227,221,208,208,195,191,183,172,172,170,162,162,162,158,151,146,144,135,132,132,129,120,107,107,103,103,103,98,93,91,87,83,82,79,74,71,61,56,56,78,68,69,59,49,37,12,8,8,2,2,0,0
Bad Dürkheim,3190,3184,3182,3178,3174,3163,3156,3150,3146,3144,3143,3136,3130,3120,3116,3112,3111,3106,3104,3093,3084,3079,3073,3066,3059,3059,3043,3021,3011,3003,3000,2981,2981,2963,2935,2915,2898,2895,2875,2864,2820,2804,2767,2744,2738,2719,2700,2681,2620,2602,2583,2568,2558,2536,2513,2469,2427,2403,2391,2374,2343,2327,2275,2230,2211,2205,2198,2183,2168,2131,2079,2056,2054,2046,2014,1993,1962,1924,1901,1886,1872,1835,1801,1776,1747,1726,1703,1684,1671,1618,1582,1559,1540,1527,1490,1461,1412,1361,1342,1309,1270,1270,1262,1227,1201,1181,1169,1108,1108,1091,1046,1037,1008,973,949,933,899,898,871,850,821,798,780,780,761,717,711,686,681,669,656,616,616,573,562,546,543,536,517,507,498,495,475,475,466,457,450,441,422,422,408,408,399,394,391,390,389,389,387,385,384,383,382,378,378,377,374,371,371,369,365,365,365,364,364,362,361,361,361,361,357,356,355,354,354,353,353,352,351,350,350,350,349,349,348,348,348,348,348,348,348,345,345,345,340,340,340,339,334,334,333,333,333,333,332,332,332,331,330,330,330,330,330,330,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,330,330,329,329,329,327,327,326,326,326,326,326,326,325,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,320,318,317,316,316,316,316,316,316,315,315,315,315,314,320,321,318,316,316,312,309,309,307,305,304,301,288,288,279,275,273,271,268,254,254,244,234,230,222,220,207,200,189,179,170,162,160,146,136,118,111,109,94,83,72,56,48,35,19,16,15,13,7,6,4
Bad Kreuznach,4274,4265,4262,4260,4257,4247,4237,4227,4215,4211,4208,4196,4185,4177,4165,4146,4137,4114,4100,4091,4080,4065,4058,4053,4048,4043,4038,4020,4010,3988,3979,3972,3945,3921,3905,3868,3835,3830,3816,3798,3768,3724,3674,3629,3623,3608,3590,3576,3544,3488,3448,3429,3414,3342,3342,3296,3257,3207,3184,3152,3105,3049,2984,2920,2878,2853,2837,2796,2755,2671,2671,2616,2559,2511,2495,2461,2424,2380,2321,2291,2274,2241,2183,2145,2100,2061,1990,1944,1909,1852,1785,1747,1717,1681,1654,1639,1615,1586,1556,1523,1503,1481,1468,1421,1388,1338,1294,1244,1234,1221,1176,1112,1062,1028,961,953,918,881,858,838,801,783,772,763,733,709,696,677,661,641,630,610,575,553,501,484,484,484,463,455,438,430,414,414,414,406,406,404,385,379,379,378,370,366,355,352,342,342,342,337,332,328,327,327,327,326,324,322,322,321,317,317,317,311,307,306,306,306,306,304,302,301,300,295,291,291,291,291,290,285,284,281,281,280,272,271,271,263,263,263,255,250,250,247,241,234,234,232,224,216,214,214,211,211,211,210,208,208,207,207,207,207,206,206,206,206,206,206,206,205,204,204,204,204,204,204,204,204,204,203,203,203,203,203,203,203,203,203,203,202,202,202,202,202,202,202,202,202,202,202,202,201,201,201,201,201,200,199,199,199,199,199,198,198,198,198,198,198,198,198,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,195,195,193,193,193,193,192,192,192,189,187,187,187,187,186,186,186,186,186,186,184,182,178,177,166,166,166,162,160,154,148,145,145,145,145,145,141,136,135,131,131,127,108,108,95,59,59,59,59,59,54,49,37,37,37,23,23,21,19,13,13,13,0,0,1
Bernkastel-Wittlich,2097,2088,2088,2085,2080,2077,2071,2068,2067,2067,2066,2064,2063,2058,2051,2037,2036,2025,2013,1993,1979,1968,1963,1962,1960,1958,1955,1950,1944,1937,1935,1926,1923,1916,1912,1907,1902,1902,1900,1898,1890,1881,1877,1848,1848,1835,1819,1815,1809,1798,1784,1783,1778,1768,1753,1731,1718,1688,1684,1678,1667,1648,1631,1615,1574,1570,1562,1556,1546,1539,1522,1491,1482,1476,1475,1460,1452,1436,1413,1407,1386,1386,1354,1343,1315,1286,1279,1251,1248,1204,1185,1159,1144,1141,1119,1117,1108,1091,1085,1079,1077,1075,1066,1052,1044,1041,1022,1018,1007,993,985,970,943,932,912,898,877,865,847,811,796,779,755,737,720,703,660,656,635,620,615,577,539,522,503,476,464,456,422,391,368,364,341,337,336,318,315,303,299,298,291,290,288,288,282,279,273,270,270,268,263,260,255,255,254,254,253,252,248,244,243,243,243,243,242,240,239,238,238,238,237,235,235,234,234,234,233,233,232,231,231,231,230,230,230,230,229,225,225,225,224,223,220,218,218,217,214,214,214,214,214,214,215,211,211,209,209,209,209,209,209,208,207,206,203,203,203,197,196,193,189,187,187,186,185,184,182,182,182,182,182,181,181,181,180,178,178,178,178,177,177,177,176,176,176,175,174,173,173,171,171,171,171,169,168,167,167,167,167,166,166,166,166,166,166,165,164,164,162,162,162,162,161,161,159,158,154,154,154,154,154,154,154,153,153,153,153,151,151,147,145,144,143,140,140,140,135,134,133,133,133,132,131,130,129,128,128,128,127,127,127,124,123,122,122,122,121,116,116,114,111,111,110,107,98,94,87,85,80,76,75,67,67,62,57,49,46,39,33,30,28,22,21,18,16,9,7,6,4,4,4,3,3,1
Birkenfeld,2282,2278,2278,2273,2257,2257,2249,2239,2238,2236,2225,2224,2212,2197,2189,2170,2166,2163,2133,2119,2104,2096,2084,2079,2067,2061,2036,2018,2002,1997,1997,1993,1977,1977,1949,1942,1922,1912,1897,1884,1875,1858,1831,1798,1798,1768,1747,1715,1642,1618,1608,1596,1590,1566,1534,1520,1506,1489,1478,1470,1423,1423,1413,1404,1373,1373,1364,1350,1344,1340,1320,1318,1315,1313,1310,1303,1297,1287,1274,1248,1248,1234,1217,1191,1166,1160,1152,1119,1119,1078,1062,1062,1054,1047,1038,1038,1002,990,971,945,919,910,910,889,842,842,816,806,805,795,779,752,739,710,679,660,647,604,599,593,584,555,555,541,511,502,478,469,447,434,425,384,349,336,324,309,299,282,270,261,232,230,226,213,194,144,141,140,138,138,137,136,127,124,124,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,122,122,121,121,120,120,120,119,119,119,119,119,119,119,119,119,119,117,117,117,117,117,114,114,114,113,113,105,103,103,101,100,98,98,98,98,94,94,94,94,94,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,92,92,92,92,92,92,92,91,91,91,91,91,91,91,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,89,89,89,89,89,89,89,88,88,88,88,88,88,88,87,85,85,85,85,84,84,84,84,84,84,84,84,84,84,84,84,83,83,83,81,81,80,80,80,80,78,77,73,70,70,68,68,66,66,64,64,62,62,58,51,47,47,46,46,44,40,39,31,31,30,29,27,23,19,17,17,10,5,5,5,4,2,1,0,0,0,0,0,0
Bitburg-Prüm,2375,2366,2363,2355,2355,2354,2350,2346,2334,2331,2320,2320,2319,2305,2299,2273,2272,2255,2243,2237,2215,2200,2179,2176,2165,2165,2143,2127,2116,2106,2097,2095,2092,2087,2086,2081,2079,2069,2065,2065,2056,2049,2044,2035,2025,2016,2011,2005,1995,1991,1985,1978,1977,1977,1956,1948,1939,1925,1919,1916,1907,1900,1882,1877,1829,1823,1823,1820,1788,1787,1768,1727,1726,1726,1725,1708,1701,1681,1644,1633,1611,1608,1568,1561,1538,1516,1507,1504,1497,1465,1450,1441,1418,1402,1383,1351,1340,1335,1325,1257,1233,1214,1213,1193,1179,1177,1151,1149,1127,1114,1092,1064,1056,1033,1019,1011,1007,977,968,952,928,922,898,892,876,871,847,827,805,795,783,759,754,737,699,676,657,647,622,589,572,540,520,506,489,458,452,435,409,383,356,351,326,321,321,318,316,314,311,309,307,307,306,305,304,304,300,300,300,300,300,300,299,299,299,299,299,299,299,296,296,294,292,292,292,290,290,288,288,288,285,284,284,284,283,282,282,281,281,281,281,279,277,277,277,275,274,273,272,272,272,272,269,263,263,262,259,258,256,251,251,251,244,244,242,242,235,234,234,230,230,228,225,215,215,215,211,206,205,204,200,199,199,199,199,199,199,199,199,199,199,199,199,199,199,198,197,197,197,187,187,187,187,187,185,185,185,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,183,183,183,183,183,183,182,181,179,178,178,177,177,177,176,175,174,174,174,172,172,169,167,167,167,165,161,160,160,160,156,156,151,149,145,132,132,129,128,128,128,126,126,125,123,121,119,115,113,103,97,93,91,79,77,54,49,49,46,44,39,32,29,22,21,16,12,6,4,1,1
Cochem-Zell,1552,1552,1548,1547,1546,1543,1537,1533,1527,1521,1520,1520,1514,1507,1507,1501,1498,1495,1493,1480,1459,1442,1438,1431,1426,1416,1405,1381,1369,1364,1364,1364,1353,1347,1346,1333,1330,1327,1321,1317,1309,1299,1286,1285,1274,1257,1249,1228,1203,1191,1187,1185,1169,1164,1153,1143,1132,1123,1118,1112,1110,1096,1075,1066,1060,1051,1046,1040,1034,1026,1012,1011,1008,1005,997,987,970,948,937,919,902,894,878,853,832,825,813,796,796,794,773,757,746,741,732,725,708,699,684,680,673,661,658,649,637,621,607,590,584,579,570,555,536,532,507,496,488,463,440,417,411,390,390,383,375,359,338,333,325,318,306,295,282,277,276,250,245,239,230,219,205,202,200,194,190,187,181,179,177,176,174,174,174,174,174,174,174,173,172,170,170,170,169,169,169,169,169,169,169,169,169,169,168,164,160,160,160,160,160,160,154,154,154,154,153,153,153,153,153,153,153,153,153,149,147,147,147,146,146,146,146,146,146,144,144,144,144,143,143,141,141,141,140,140,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,137,137,137,137,137,137,137,137,137,136,136,135,135,135,134,134,134,134,134,134,134,134,134,134,131,131,131,131,131,131,129,129,129,129,129,129,129,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,127,127,127,127,127,127,127,127,127,127,127,127,127,126,126,126,126,126,126,126,126,124,124,124,124,122,122,121,121,121,121,121,121,121,121,116,116,116,116,113,112,108,100,99,97,90,41,40,40,40,40,40,40,38,32,29,23,11,6,3,2,0,0
Donnersbergkreis,1625,1625,1624,1624,1620,1615,1606,1605,1602,1599,1595,1586,1586,1582,1580,1580,1577,1577,1573,1564,1555,1550,1547,1543,1543,1536,1529,1523,1518,1510,1509,1503,1499,1488,1474,1464,1455,1444,1444,1436,1429,1413,1406,1401,1396,1385,1379,1373,1360,1339,1328,1318,1315,1309,1293,1270,1246,1227,1216,1196,1189,1154,1154,1131,1109,1109,1107,1101,1086,1078,1066,1057,1052,1049,1043,1029,1002,993,990,981,960,943,920,894,879,864,858,844,835,817,805,795,787,779,771,764,755,739,729,724,721,695,695,675,660,643,631,624,596,584,559,536,513,508,499,470,441,428,412,395,382,344,344,344,328,320,302,301,298,294,281,258,252,241,238,227,227,227,221,216,212,209,208,208,208,205,203,200,194,193,193,185,184,184,184,184,184,184,184,183,183,183,183,182,182,182,182,182,182,181,175,175,175,171,171,169,169,169,169,164,164,164,161,161,158,158,158,157,157,156,156,156,156,154,152,152,152,152,152,152,152,152,151,151,151,149,149,148,141,141,140,139,139,139,139,139,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,136,136,136,136,136,135,135,135,135,135,135,135,135,135,134,134,134,134,133,133,133,133,133,133,133,132,130,126,125,125,125,119,119,119,119,119,118,118,118,118,116,116,114,114,114,114,112,112,110,105,105,105,105,101,99,97,87,87,87,86,81,75,73,71,70,70,68,63,60,59,58,52,52,50,35,32,32,29,17,17,12,12,9,2,2,2,2,2,1,0
